ID,COMBINATION_ID,VARIABLE_ID,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,MEMBER_HIERARCHY
1,F_20_04_REF_FINREP_3_0_151052_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_38,
2,F_20_04_REF_FINREP_3_0_151052_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
3,F_20_04_REF_FINREP_3_0_151052_REF,SBJCT_IMPRMNT_INDCTR,,,SBJCT_IMPRMNT_INDCTR_-1,
4,F_20_04_REF_FINREP_3_0_151052_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
5,F_20_04_REF_FINREP_3_0_151052_REF,RPYMNT_RGHTS,,,RPYMNT_RGHTS_0,
6,F_20_04_REF_FINREP_3_0_151052_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S122_A_IO,
7,F_20_04_REF_FINREP_3_0_151052_REF,MLTLTRL_DVLPMNT_BNK_INDCTR,,,MLTLTRL_DVLPMNT_BNK_INDCTR_1,
8,F_20_04_REF_FINREP_3_0_151052_REF,PRTY_RL_TYP,,,ENTTY_RL_TYP_45,
9,F_20_04_REF_FINREP_3_0_151052_REF,MN_DBTR_INDCTR,,,MN_DBTR_INDCTR_0,
10,F_20_04_REF_FINREP_3_0_151052_REF,ENTRPRS_SZ,,,SZ_5,
11,F_20_04_REF_FINREP_3_0_151052_REF,PRPS,,,PRPS_0,
12,F_20_04_REF_FINREP_3_0_151052_REF,NGTBL_SCRTY_INDCTR,,,NGTBL_SCRTY_0,
13,F_20_04_REF_FINREP_3_0_151052_REF,DFLT_STTS,,,CRDT_QLTY_10,
14,F_20_04_REF_FINREP_3_0_151052_REF,PRFRMNG_STTS,,,CRDT_QLTY_15,
15,F_40_01_REF_FINREP_3_0_456733_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_241,
16,F_40_01_REF_FINREP_3_0_456733_REF,NGTBL_SCRTY_INDCTR,,,NGTBL_SCRTY_-1,
17,F_20_04_REF_FINREP_3_0_152496_REF,ACCNTNG_CLSSFCTN,,,ACCNTNG_CLSSFCTN_60,
18,F_20_04_REF_FINREP_3_0_152496_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
19,F_20_04_REF_FINREP_3_0_152496_REF,SBJCT_IMPRMNT_INDCTR,,,SBJCT_IMPRMNT_INDCTR_-1,
20,F_20_04_REF_FINREP_3_0_152496_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_251,
21,F_20_04_REF_FINREP_3_0_152496_REF,RPYMNT_RGHTS,,,RPYMNT_RGHTS_-1,
22,F_20_04_REF_FINREP_3_0_152496_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_S11,
23,F_20_04_REF_FINREP_3_0_152496_REF,MLTLTRL_DVLPMNT_BNK_INDCTR,,,MLTLTRL_DVLPMNT_BNK_INDCTR_0,
24,F_20_04_REF_FINREP_3_0_152496_REF,PRTY_RL_TYP,,,ENTTY_RL_TYP_46,
25,F_20_04_REF_FINREP_3_0_152496_REF,MN_DBTR_INDCTR,,,MN_DBTR_INDCTR_1,
26,F_20_04_REF_FINREP_3_0_152496_REF,ENTRPRS_SZ,,,SZ_5,
27,F_20_04_REF_FINREP_3_0_152496_REF,PRPS,,,PRPS_-1,
